DATE,CITY,ENERGY_GENERATED
2016-11-01,Chennai,324.45
2016-12-01,Chennai,302.58
2017-01-01,Chennai,327.405
2017-02-01,Chennai,359.70000000000005
2017-03-01,Chennai,395.645
2017-04-01,Chennai,402.93
2017-05-01,Chennai,383.93
2017-06-01,Chennai,330.2
2017-07-01,Chennai,314.73
2017-08-01,Chennai,306.485
2017-09-01,Chennai,304.03000000000003
2017-10-01,Chennai,277.93
2017-11-01,Chennai,278.15500000000003
2017-12-01,Chennai,315.34000000000003
2018-01-01,Chennai,316.67999999999995
2018-02-01,Chennai,357.35
2018-03-01,Chennai,372.63
2018-04-01,Chennai,416.45
2018-05-01,Chennai,392.555
2018-06-01,Chennai,336.79
2018-07-01,Chennai,332.79
2018-08-01,Chennai,298.08000000000004
2018-09-01,Chennai,335.07
2018-10-01,Chennai,315.97
2018-11-01,Chennai,299.26
2018-12-01,Chennai,290.54
2019-01-01,Chennai,325.82
2019-02-01,Chennai,363.065
2019-03-01,Chennai,410.385
2019-04-01,Chennai,411.01
2019-05-01,Chennai,386.99000000000007
2019-06-01,Chennai,354.525
2019-07-01,Chennai,313.51
2019-08-01,Chennai,330.48
2019-09-01,Chennai,320.875
2019-10-01,Chennai,291.92
2019-11-01,Chennai,296.785
2019-12-01,Chennai,292.97
2020-01-01,Chennai,318.46000000000004
2020-02-01,Chennai,365.025
2020-03-01,Chennai,399.19
2020-04-01,Chennai,394.445
2020-05-01,Chennai,387.225
2020-06-01,Chennai,341.52
2020-07-01,Chennai,311.46500000000003
2020-08-01,Chennai,272.8
2020-09-01,Chennai,284.365
2020-10-01,Chennai,269.37
2020-11-01,Chennai,292.675
2020-12-01,Chennai,288.04
2021-01-01,Chennai,293.76000000000005
2021-02-01,Chennai,357.29
2021-03-01,Chennai,376.555
2021-04-01,Chennai,385.605
2021-05-01,Chennai,379.68
2021-06-01,Chennai,352.605
2021-07-01,Chennai,331.79
2021-08-01,Chennai,320.875
2021-09-01,Chennai,302.69
2021-10-01,Chennai,292.67
2021-11-01,Chennai,235.45
2021-12-01,Chennai,303.65
2022-01-01,Chennai,309.34000000000003
2022-02-01,Chennai,355.17
2022-03-01,Chennai,371.775
2022-04-01,Chennai,400.58
2022-05-01,Chennai,351.105
2022-06-01,Chennai,343.3299999999999
2022-07-01,Chennai,317.89
2022-08-01,Chennai,319.95
2022-09-01,Chennai,303.21
2022-10-01,Chennai,290.96
2022-11-01,Chennai,267.11
2022-12-01,Chennai,286.61
2023-01-01,Chennai,319.195
2023-02-01,Chennai,344.00999999999993
2023-03-01,Chennai,375.65
2023-04-01,Chennai,404.1950000000001
2023-05-01,Chennai,349.65
2023-06-01,Chennai,338.81
2023-07-01,Chennai,306.62
2023-08-01,Chennai,334.81999999999994
2023-09-01,Chennai,330.61
2023-10-01,Chennai,312.625
2023-11-01,Chennai,253.29
2023-12-01,Chennai,295.13
2024-01-01,Chennai,303.125
2024-02-01,Chennai,357.08500000000004
2024-03-01,Chennai,388.77
2024-04-01,Chennai,421.28
2024-05-01,Chennai,361.835
2024-06-01,Chennai,331.82500000000005
2024-07-01,Chennai,315.43
2024-08-01,Chennai,319.95
2024-09-01,Chennai,300.1
2024-10-01,Chennai,288.75
2024-11-01,Chennai,292.07
2024-12-01,Chennai,278.235
2016-01-01,Delhi,194.11
2016-02-01,Delhi,271.515
2016-03-01,Delhi,335.74999999999994
2016-04-01,Delhi,408.39
2016-05-01,Delhi,386.54
2016-06-01,Delhi,359.05
2016-07-01,Delhi,261.445
2016-08-01,Delhi,292.65
2016-09-01,Delhi,314.72
2016-10-01,Delhi,283.40500000000003
2016-11-01,Delhi,246.75
2016-12-01,Delhi,213.175
2017-01-01,Delhi,217.81
2017-02-01,Delhi,299.185
2017-03-01,Delhi,357.37
2017-04-01,Delhi,412.87
2017-05-01,Delhi,379.055
2017-06-01,Delhi,358.52
2017-07-01,Delhi,313.20500000000004
2017-08-01,Delhi,285.595
2017-09-01,Delhi,293.895
2017-10-01,Delhi,280.785
2017-11-01,Delhi,218.32
2017-12-01,Delhi,211.035
2018-01-01,Delhi,233.06
2018-02-01,Delhi,282.665
2018-03-01,Delhi,359.70500000000004
2018-04-01,Delhi,374.3
2018-05-01,Delhi,378.2600000000001
2018-06-01,Delhi,367.035
2018-07-01,Delhi,279.545
2018-08-01,Delhi,264.71500000000003
2018-09-01,Delhi,284.525
2018-10-01,Delhi,281.685
2018-11-01,Delhi,223.445
2018-12-01,Delhi,214.24
2019-01-01,Delhi,220.395
2019-02-01,Delhi,234.95
2019-03-01,Delhi,337.22
2019-04-01,Delhi,393.28
2019-05-01,Delhi,423.515
2019-06-01,Delhi,390.325
2019-07-01,Delhi,292.08000000000004
2019-08-01,Delhi,284.7
2019-09-01,Delhi,264.14
2019-10-01,Delhi,262.61
2019-11-01,Delhi,207.50000000000003
2019-12-01,Delhi,156.23000000000002
2020-01-01,Delhi,200.625
2020-02-01,Delhi,281.505
2020-03-01,Delhi,318.215
2020-04-01,Delhi,383.275
2020-05-01,Delhi,402.71
2020-06-01,Delhi,358.58
2020-07-01,Delhi,316.01
2020-08-01,Delhi,284.23
2020-09-01,Delhi,316.19
2020-10-01,Delhi,290.41
2020-11-01,Delhi,228.66
2020-12-01,Delhi,224.29
2021-01-01,Delhi,192.62
2021-02-01,Delhi,280.82
2021-03-01,Delhi,346.79
2021-04-01,Delhi,408.69
2021-05-01,Delhi,360.455
2021-06-01,Delhi,362.79
2021-07-01,Delhi,289.89
2021-08-01,Delhi,282.77
2021-09-01,Delhi,269.01
2021-10-01,Delhi,284.97
2021-11-01,Delhi,219.0
2021-12-01,Delhi,191.34
2022-01-01,Delhi,173.62
2022-02-01,Delhi,278.93
2022-03-01,Delhi,350.45500000000004
2022-04-01,Delhi,399.79
2022-05-01,Delhi,377.99000000000007
2022-06-01,Delhi,367.655
2022-07-01,Delhi,306.35
2022-08-01,Delhi,306.69
2022-09-01,Delhi,280.53
2022-10-01,Delhi,257.625
2022-11-01,Delhi,238.39
2022-12-01,Delhi,228.545
2023-01-01,Delhi,194.545
2023-02-01,Delhi,308.78
2023-03-01,Delhi,298.805
2023-04-01,Delhi,370.95
2023-05-01,Delhi,383.35
2023-06-01,Delhi,359.725
2023-07-01,Delhi,271.88
2023-08-01,Delhi,307.415
2023-09-01,Delhi,302.61
2023-10-01,Delhi,291.05
2023-11-01,Delhi,183.53
2023-12-01,Delhi,190.61
2024-01-01,Delhi,151.81
2024-02-01,Delhi,268.32
2024-03-01,Delhi,342.48
2024-04-01,Delhi,385.23
2024-05-01,Delhi,417.655
2024-06-01,Delhi,380.55
2024-07-01,Delhi,278.105
2024-08-01,Delhi,286.315
2024-09-01,Delhi,253.18
2024-10-01,Delhi,288.855
2024-11-01,Delhi,207.375
2024-12-01,Delhi,198.47
2016-01-01,Gandhinagar,283.58
2016-02-01,Gandhinagar,333.315
2016-03-01,Gandhinagar,387.335
2016-04-01,Gandhinagar,435.48
2016-05-01,Gandhinagar,469.52
2016-06-01,Gandhinagar,422.07
2016-07-01,Gandhinagar,308.155
2016-08-01,Gandhinagar,273.37
2016-09-01,Gandhinagar,334.78000000000003
2016-10-01,Gandhinagar,296.28000000000003
2016-11-01,Gandhinagar,297.385
2016-12-01,Gandhinagar,287.78
2017-01-01,Gandhinagar,282.94
2017-02-01,Gandhinagar,345.025
2017-03-01,Gandhinagar,400.075
2017-04-01,Gandhinagar,439.815
2017-05-01,Gandhinagar,456.025
2017-06-01,Gandhinagar,414.59
2017-07-01,Gandhinagar,278.77
2017-08-01,Gandhinagar,289.2
2017-09-01,Gandhinagar,303.265
2017-10-01,Gandhinagar,322.295
2017-11-01,Gandhinagar,276.41
2017-12-01,Gandhinagar,251.185
2018-01-01,Gandhinagar,290.98
2018-02-01,Gandhinagar,323.265
2018-03-01,Gandhinagar,387.925
2018-04-01,Gandhinagar,421.81
2018-05-01,Gandhinagar,447.605
2018-06-01,Gandhinagar,419.985
2018-07-01,Gandhinagar,280.56
2018-08-01,Gandhinagar,268.75
2018-09-01,Gandhinagar,305.61
2018-10-01,Gandhinagar,323.26
2018-11-01,Gandhinagar,284.865
2018-12-01,Gandhinagar,280.155
2019-01-01,Gandhinagar,299.515
2019-02-01,Gandhinagar,339.42499999999995
2019-03-01,Gandhinagar,388.03
2019-04-01,Gandhinagar,430.37
2019-05-01,Gandhinagar,461.02
2019-06-01,Gandhinagar,409.15
2019-07-01,Gandhinagar,341.23
2019-08-01,Gandhinagar,284.325
2019-09-01,Gandhinagar,257.33500000000004
2019-10-01,Gandhinagar,309.785
2019-11-01,Gandhinagar,247.88
2019-12-01,Gandhinagar,261.695
2020-01-01,Gandhinagar,287.475
2020-02-01,Gandhinagar,332.80499999999995
2020-03-01,Gandhinagar,371.155
2020-04-01,Gandhinagar,430.4
2020-05-01,Gandhinagar,469.02
2020-06-01,Gandhinagar,380.26
2020-07-01,Gandhinagar,343.31999999999994
2020-08-01,Gandhinagar,270.305
2020-09-01,Gandhinagar,302.925
2020-10-01,Gandhinagar,315.005
2020-11-01,Gandhinagar,285.345
2020-12-01,Gandhinagar,263.13
2021-01-01,Gandhinagar,271.505
2021-02-01,Gandhinagar,336.76500000000004
2021-03-01,Gandhinagar,391.915
2021-04-01,Gandhinagar,417.955
2021-05-01,Gandhinagar,424.71
2021-06-01,Gandhinagar,397.715
2021-07-01,Gandhinagar,333.37
2021-08-01,Gandhinagar,313.83000000000004
2021-09-01,Gandhinagar,271.255
2021-10-01,Gandhinagar,317.78
2021-11-01,Gandhinagar,271.59
2021-12-01,Gandhinagar,240.25
2022-01-01,Gandhinagar,284.255
2022-02-01,Gandhinagar,338.76
2022-03-01,Gandhinagar,388.13
2022-04-01,Gandhinagar,442.665
2022-05-01,Gandhinagar,453.1
2022-06-01,Gandhinagar,426.575
2022-07-01,Gandhinagar,294.845
2022-08-01,Gandhinagar,271.835
2022-09-01,Gandhinagar,320.75
2022-10-01,Gandhinagar,322.04999999999995
2022-11-01,Gandhinagar,290.35
2022-12-01,Gandhinagar,274.70500000000004
2023-01-01,Gandhinagar,290.06
2023-02-01,Gandhinagar,354.65
2023-03-01,Gandhinagar,342.97
2023-04-01,Gandhinagar,394.095
2023-05-01,Gandhinagar,441.41
2023-06-01,Gandhinagar,388.155
2023-07-01,Gandhinagar,300.885
2023-08-01,Gandhinagar,274.555
2023-09-01,Gandhinagar,309.69
2023-10-01,Gandhinagar,323.93
2023-11-01,Gandhinagar,260.95
2023-12-01,Gandhinagar,259.06
2024-01-01,Gandhinagar,277.47
